t=2026-05-15T11:57:40+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-15T11:57:40+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T11:57:40+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T11:57:40+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T11:57:41+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T11:57:41+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T12:26:50+0700 lvl=info msg="join connections" obj=join id=74ba2196f3c1 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:27:20+0700 lvl=info msg="join connections" obj=join id=3708b2c69bc0 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:27:56+0700 lvl=info msg="join connections" obj=join id=3824bb7cb369 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:27:57+0700 lvl=info msg="join connections" obj=join id=a01853433d4a l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:28:29+0700 lvl=info msg="join connections" obj=join id=f6ba54f12015 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:28:33+0700 lvl=info msg="join connections" obj=join id=b4d6cffba147 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:28:34+0700 lvl=info msg="join connections" obj=join id=510e31794c74 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:28:58+0700 lvl=info msg="join connections" obj=join id=abc308b25e55 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:29:28+0700 lvl=info msg="join connections" obj=join id=51b96547bb49 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:29:30+0700 lvl=info msg="join connections" obj=join id=c26384dc05f8 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:30:00+0700 lvl=info msg="join connections" obj=join id=6b6c5e458c28 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:30:01+0700 lvl=info msg="join connections" obj=join id=b33ff874f290 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
t=2026-05-15T12:30:03+0700 lvl=info msg="join connections" obj=join id=7c67e84e0a55 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:50198
